date,vessel,start_time,destination,overtime,storage_type,end_time,total_tonnage,service,Price,invoice_value
2025-02-14,EUSKADI ALAI,12:00:00.000000000,MNBU4283216,normal hours,Brine,14:29:00.000000000,27.3,Full OSS,38.75,1057.875
2025-02-14,EUSKADI ALAI,14:35:00.000000000,SUDU6172475,normal hours,Brine,16:29:00.000000000,27.2,Full OSS,38.75,1054.0
2025-02-14,EUSKADI ALAI,16:35:00.000000000,MNBU3761603,normal hours,Brine,16:53:00.000000000,8.97,Full OSS,38.75,347.58750000000003
2025-02-14,EUSKADI ALAI,18:09:00.000000000,MSFU0001806,overtime 150%,Dry,20:24:00.000000000,25.57,Full OSS,80.625,2061.58125
2025-02-14,EUSKADI ALAI,20:15:00.000000000,MSFU0011189,overtime 150%,Dry,22:42:00.000000000,26.05,Full OSS,80.625,2100.28125
2025-02-14,EUSKADI ALAI,22:48:00.000000000,MSFU0003218,overtime 150%,Dry,23:01:00.000000000,3.76,Full OSS,80.625,303.15
2025-02-14,IZARO,12:19:00.000000000,MSFU0002633,normal hours,Dry,14:11:00.000000000,25.504,Full OSS,53.75,1370.8400000000001
2025-02-14,IZARO,14:23:00.000000000,MSFU0002150,normal hours,Dry,16:23:00.000000000,24.39,Full OSS,53.75,1310.9625
2025-02-14,IZARO,17:02:00.000000000,MSFU0003218,overtime 150%,Dry,17:33:00.000000000,13.3,Full OSS,80.625,1072.3125
2025-02-14,TXORI GORRI,10:28:00.000000000,MNBU4318159,normal hours,Brine,10:30:00.000000000,1.92,Basic OSS,25.5,48.96
2025-02-14,TXORI ZURI,08:25:00.000000000,MWCU5261126,normal hours,Brine,08:25:00.000000000,3.09,Basic OSS,25.5,78.795
2025-02-14,TXORI ZURI,08:35:00.000000000,MNBU0478729,normal hours,Brine,09:36:00.000000000,26.97,Basic OSS,25.5,687.735
2025-02-14,TXORI ZURI,09:57:00.000000000,MNBU9160277,normal hours,Brine,13:49:00.000000000,12.54,Basic OSS,25.5,319.77
2025-02-14,TXORI ZURI,09:57:00.000000000,SUDU6259554,normal hours,Brine,11:09:00.000000000,26.64,Basic OSS,25.5,679.32
2025-02-14,TXORI ZURI,11:24:00.000000000,MNBU3779942,normal hours,Brine,12:13:00.000000000,26.87,Basic OSS,25.5,685.1850000000001
2025-02-14,TXORI ZURI,16:20:00.000000000,MNBU0402940,normal hours,Brine,16:57:00.000000000,10.117,Basic OSS,25.5,257.98350000000005
2025-02-15,EUSKADI ALAI,09:05:00.000000000,MNBU3987761,normal hours,Brine,10:19:00.000000000,27.17,Full OSS,38.75,1052.8375
2025-02-15,EUSKADI ALAI,10:22:00.000000000,MNBU3761603,normal hours,Brine,11:59:00.000000000,17.82,Full OSS,38.75,690.525
